Element,Coldate,Site,FC,WatchList,ActionList,Latitude,Longitude,E.Coli
ICS1.1,10/15/2020,MC14A,376,ok,ok,35.298525,-80.979023,416
ICS1.1,10/15/2020,MC17,390,ok,ok,35.240055,-80.974699,389
ICS1.1,10/13/2020,MC22A,2400,ok,ok,35.197895,-80.904612,717
ICS1.1,10/13/2020,MC25,1130,ok,ok,35.145514,-80.926682,754
ICS1.1,10/13/2020,MC27,2600,ok,ok,35.090525,-80.899406,2142
ICS1.1,10/13/2020,MC29A1,6600,ok,ok,35.204786,-80.836989,7701
ICS1.1,10/13/2020,MC33,813,ok,ok,35.174037,-80.833178,637
ICS1.1,10/13/2020,MC38,2100,ok,ok,35.137241,-80.76818,1137
ICS1.1,10/13/2020,MC38,1940,ok,ok,35.137241,-80.76818,1130
ID4.1,10/15/2020,MC4,188,ok,ok,35.389623,-80.921059,173
ID4.1,10/15/2020,MC4,230,ok,ok,35.389623,-80.921059,210
ICS1.1,10/13/2020,MC40A,2200,ok,ok,35.077015,-80.822444,1541
ICS1.1,10/13/2020,MC42,1750,ok,ok,35.14089,-80.820081,1076
ICS1.1,10/13/2020,MC45,1940,ok,ok,35.066403,-80.869837,1616
ICS1.1,10/13/2020,MC45,2050,ok,ok,35.066403,-80.869837,1465
ICS1.1,10/13/2020,MC47A,2500,ok,ok,35.104679,-80.953858,959
ICS1.1,10/13/2020,MC49A,2000,ok,ok,35.084994,-80.88219,1050
ID4.1,10/15/2020,MC50,230,ok,ok,35.361375,-80.897666,218
ICS1.1,10/13/2020,MC51,813,ok,ok,35.01031483,-80.828258,906
ID4.1,10/15/2020,MY10,585,Flag,ok,35.413972,-80.752087,462
ICS1.1,10/15/2020,MY11B,550,ok,ok,35.332304,-80.715808,411
ICS1.1,10/15/2020,MY12B,230,ok,ok,35.309424,-80.682435,236
ICS1.1,10/15/2020,MY13,445,ok,ok,35.259081,-80.662587,273
ID4.1,10/15/2020,MY1B,360,ok,ok,35.459743,-80.780104,436
ICS1.1,10/15/2020,MY7B,580,ok,ok,35.253916,-80.648071,489
ICS1.1,10/15/2020,MY7B,520,ok,ok,35.253916,-80.648071,416
ID4.1,10/15/2020,MY8,475,ok,ok,35.208353,-80.579739,345
ID4.1,10/15/2020,MY9,200,ok,ok,35.130785,-80.631151,235
